normalized_radius,true_elevation_m,estimated_elevation_m
0.00000000,-0.4316669781,-0.4316728535
0.00250000,-0.4316665752,-0.4316725310
0.00500000,-0.4316661722,-0.4316722086
0.00750000,-0.4316657692,-0.4316718861
0.01000000,-0.4316653663,-0.4316715637
0.01250000,-0.4316649633,-0.4316712412
0.01500000,-0.4316645604,-0.4316709187
0.01750000,-0.4316641574,-0.4316705963
0.02000000,-0.4316637544,-0.4316702738
0.02250000,-0.4316633515,-0.4316699514
0.02500000,-0.4316629485,-0.4316696289
0.02750000,-0.4316625456,-0.4316693065
0.03000000,-0.4316621426,-0.4316689840
0.03250000,-0.4316617396,-0.4316686615
0.03500000,-0.4316613367,-0.4316683391
0.03750000,-0.4316609337,-0.4316680166
0.04000000,-0.4316605308,-0.4316676942
0.04250000,-0.4316601278,-0.4316673717
0.04500000,-0.4316597248,-0.4316670493
0.04750000,-0.4316579058,-0.4316659479
0.05000000,-0.4316556858,-0.4316646261
0.05250000,-0.4316534659,-0.4316633043
0.05500000,-0.4316512459,-0.4316619825
0.05750000,-0.4316490260,-0.4316606607
0.06000000,-0.4316468060,-0.4316593389
0.06250000,-0.4316445860,-0.4316580171
0.06500000,-0.4316423661,-0.4316566953
0.06750000,-0.4316401461,-0.4316553735
0.07000000,-0.4316379262,-0.4316540517
0.07250000,-0.4316357062,-0.4316527299
0.07500000,-0.4316334862,-0.4316514081
0.07750000,-0.4316312663,-0.4316500862
0.08000000,-0.4316290463,-0.4316487644
0.08250000,-0.4316268264,-0.4316474426
0.08500000,-0.4316246064,-0.4316461208
0.08750000,-0.4316223865,-0.4316447990
0.09000000,-0.4316201665,-0.4316434772
0.09250000,-0.4316156439,-0.4316401360
0.09500000,-0.4316093026,-0.4316351998
0.09750000,-0.4316029613,-0.4316302637
0.10000000,-0.4315966200,-0.4316253275
0.10250000,-0.4315902787,-0.4316203914
0.10500000,-0.4315839375,-0.4316154552
0.10750000,-0.4315775962,-0.4316105191
0.11000000,-0.4315712549,-0.4316055829
0.11250000,-0.4315649136,-0.4316006468
0.11500000,-0.4315585723,-0.4315957106
0.11750000,-0.4315522311,-0.4315907745
0.12000000,-0.4315458898,-0.4315858383
0.12250000,-0.4315395485,-0.4315809022
0.12500000,-0.4315332072,-0.4315759660
0.12750000,-0.4315268659,-0.4315710298
0.13000000,-0.4315205247,-0.4315660937
0.13250000,-0.4315141834,-0.4315611575
0.13500000,-0.4315078421,-0.4315562214
0.13750000,-0.4314973053,-0.4315483364
0.14000000,-0.4314785543,-0.4315346780
0.14250000,-0.4314598032,-0.4315210195
0.14500000,-0.4314410521,-0.4315073610
0.14750000,-0.4314223010,-0.4314937026
0.15000000,-0.4314035499,-0.4314800441
0.15250000,-0.4313847989,-0.4314663857
0.15500000,-0.4313660478,-0.4314527272
0.15750000,-0.4313472967,-0.4314390688
0.16000000,-0.4313285456,-0.4314254103
0.16250000,-0.4313097946,-0.4314117518
0.16500000,-0.4312910435,-0.4313980934
0.16750000,-0.4312722924,-0.4313844349
0.17000000,-0.4312535413,-0.4313707765
0.17250000,-0.4312347902,-0.4313571180
0.17500000,-0.4312160392,-0.4313434596
0.17750000,-0.4311972881,-0.4313298011
0.18000000,-0.4311785370,-0.4313161427
0.18250000,-0.4311567600,-0.4312996380
0.18500000,-0.4311122427,-0.4312617438
0.18750000,-0.4310677254,-0.4312238495
0.19000000,-0.4310232081,-0.4311859553
0.19250000,-0.4309786908,-0.4311480611
0.19500000,-0.4309341735,-0.4311101668
0.19750000,-0.4308896562,-0.4310722726
0.20000000,-0.4308451389,-0.4310343784
0.20250000,-0.4308006216,-0.4309964841
0.20500000,-0.4307561043,-0.4309585899
0.20750000,-0.4307115870,-0.4309206956
0.21000000,-0.4306670697,-0.4308828014
0.21250000,-0.4306225524,-0.4308449072
0.21500000,-0.4305780351,-0.4308070129
0.21750000,-0.4305335178,-0.4307691187
0.22000000,-0.4304890005,-0.4307312245
0.22250000,-0.4304444832,-0.4306933302
0.22500000,-0.4303999659,-0.4306554360
0.22750000,-0.4303554486,-0.4306175418
0.23000000,-0.4302575086,-0.4305361419
0.23250000,-0.4301534208,-0.4304497355
0.23500000,-0.4300493329,-0.4303633291
0.23750000,-0.4299452451,-0.4302769227
0.24000000,-0.4298411573,-0.4301905163
0.24250000,-0.4297370695,-0.4301041098
0.24500000,-0.4296329817,-0.4300177034
0.24750000,-0.4295288939,-0.4299312970
0.25000000,-0.4294248060,-0.4298448906
0.25250000,-0.4293207182,-0.4297584841
0.25500000,-0.4292166304,-0.4296720777
0.25750000,-0.4291125426,-0.4295856713
0.26000000,-0.4290084548,-0.4294992649
0.26250000,-0.4289043669,-0.4294128585
0.26500000,-0.4288002791,-0.4293264520
0.26750000,-0.4286961913,-0.4292400456
0.27000000,-0.4285921035,-0.4291536392
0.27250000,-0.4284880157,-0.4290672328
0.27500000,-0.4283136373,-0.4289111044
0.27750000,-0.4281055934,-0.4287215829
0.28000000,-0.4278975495,-0.4285320614
0.28250000,-0.4276895057,-0.4283425398
0.28500000,-0.4274814618,-0.4281530183
0.28750000,-0.4272734179,-0.4279634968
0.29000000,-0.4270653741,-0.4277739753
0.29250000,-0.4268573302,-0.4275844537
0.29500000,-0.4266492863,-0.4273949322
0.29750000,-0.4264412425,-0.4272054107
0.30000000,-0.4262331986,-0.4270158892
0.30250000,-0.4260251547,-0.4268263677
0.30500000,-0.4258171109,-0.4266368461
0.30750000,-0.4256090670,-0.4264473246
0.31000000,-0.4254010231,-0.4262578031
0.31250000,-0.4251929793,-0.4260682816
0.31500000,-0.4249849354,-0.4258787600
0.31750000,-0.4247768915,-0.4256892385
0.32000000,-0.4244823474,-0.4254220657
0.32250000,-0.4240844084,-0.4250620754
0.32500000,-0.4236864695,-0.4247020850
0.32750000,-0.4232885305,-0.4243420946
0.33000000,-0.4228905915,-0.4239821043
0.33250000,-0.4224926526,-0.4236221139
0.33500000,-0.4220947136,-0.4232621236
0.33750000,-0.4216967746,-0.4229021332
0.34000000,-0.4212988357,-0.4225421429
0.34250000,-0.4209008967,-0.4221821525
0.34500000,-0.4205029577,-0.4218221621
0.34750000,-0.4201050188,-0.4214621718
0.35000000,-0.4197070798,-0.4211021814
0.35250000,-0.4193091408,-0.4207421911
0.35500000,-0.4189112019,-0.4203822007
0.35750000,-0.4185132629,-0.4200222104
0.36000000,-0.4181153239,-0.4196622200
0.36250000,-0.4177173850,-0.4193022296
0.36500000,-0.4172543193,-0.4188751344
0.36750000,-0.4165790986,-0.4182294398
0.37000000,-0.4159038779,-0.4175837452
0.37250000,-0.4152286572,-0.4169380505
0.37500000,-0.4145534365,-0.4162923559
0.37750000,-0.4138782158,-0.4156466613
0.38000000,-0.4132029951,-0.4150009667
0.38250000,-0.4125277744,-0.4143552721
0.38500000,-0.4118525537,-0.4137095775
0.38750000,-0.4111773330,-0.4130638829
0.39000000,-0.4105021123,-0.4124181883
0.39250000,-0.4098268915,-0.4117724937
0.39500000,-0.4091516708,-0.4111267991
0.39750000,-0.4084764501,-0.4104811044
0.40000000,-0.4078012294,-0.4098354098
0.40250000,-0.4071260087,-0.4091897152
0.40500000,-0.4064507880,-0.4085440206
0.40750000,-0.4057755673,-0.4078983260
0.41000000,-0.4050945473,-0.4072470813
0.41250000,-0.4040119292,-0.4062114900
0.41500000,-0.4029293111,-0.4051758988
0.41750000,-0.4018466930,-0.4041403075
0.42000000,-0.4007640749,-0.4031047162
0.42250000,-0.3996814568,-0.4020691250
0.42500000,-0.3985988387,-0.4010335337
0.42750000,-0.3975162206,-0.3999979425
0.43000000,-0.3964336025,-0.3989623512
0.43250000,-0.3953509844,-0.3979267600
0.43500000,-0.3942683663,-0.3968911687
0.43750000,-0.3931857482,-0.3958555774
0.44000000,-0.3921031301,-0.3948199862
0.44250000,-0.3910205120,-0.3937843949
