front_rim_distance,sensor_height,diameter,ddr,dp,cr,negative_points,fit_diameter
15.0,1.0,5.0,0.05,0.0,0.0,0,0.0
15.0,1.0,5.0,0.06,0.0,0.0,0,0.0
15.0,1.0,5.0,0.07,0.0,0.0,0,0.0
15.0,1.0,5.0,0.08,0.0,0.0,0,0.0
15.0,1.0,5.0,0.09,0.0,0.0,0,0.0
15.0,1.0,5.0,0.1,0.0,0.0,0,0.0
15.0,1.0,5.0,0.11,0.0,0.0,0,0.0
15.0,1.0,5.0,0.12,0.0,0.0,0,0.0
15.0,1.0,5.0,0.13,0.0,0.0,0,0.0
15.0,1.0,5.0,0.14,0.0,0.0,0,0.0
15.0,1.0,5.0,0.15,0.0,0.0,0,0.0
15.0,1.0,5.0,0.16,0.0,0.0,0,0.0
15.0,1.0,5.0,0.17,0.0,0.0,0,0.0
15.0,1.0,5.0,0.18,0.0,0.0,0,0.0
15.0,1.0,5.0,0.19,0.0,0.0,0,0.0
15.0,1.0,5.0,0.2,0.0,0.0,0,0.0
15.0,1.0,5.0,0.21,0.0,0.0,0,0.0
15.0,1.0,5.0,0.22,0.0,0.0,0,0.0
15.0,1.0,5.0,0.23,0.0,0.0,0,0.0
15.0,1.0,5.0,0.24,0.0,0.0,0,0.0
15.0,1.0,5.0,0.25,0.0,0.0,0,0.0
15.0,1.0,5.0,0.26,0.0,0.0,0,0.0
15.0,1.0,5.0,0.27,0.0,0.0,0,0.0
15.0,1.0,5.0,0.28,0.0,0.0,0,0.0
15.0,1.0,5.0,0.29,0.0,0.0,0,0.0
15.0,1.0,5.0,0.3,0.0,0.0,0,0.0
15.0,1.0,5.0,0.31,0.0,0.0,0,0.0
15.0,1.0,5.0,0.32,0.0,0.0,0,0.0
15.0,1.0,5.0,0.33,0.0,0.0,0,0.0
15.0,1.0,5.0,0.34,0.0,0.0,0,0.0
15.0,1.0,5.0,0.35,0.0,0.0,0,0.0
15.0,1.0,5.0,0.36,0.0,0.0,0,0.0
15.0,1.0,5.0,0.37,0.0,0.0,0,0.0
15.0,1.0,5.0,0.38,0.0,0.0,0,0.0
15.0,1.0,5.0,0.39,0.0,0.0,0,0.0
15.0,1.0,5.0,0.4,0.0,0.0,0,0.0
15.0,1.0,5.0,0.41,0.0,0.0,0,0.0
15.0,1.0,5.0,0.42,0.0,0.0,0,0.0
15.0,1.0,5.0,0.43,0.0,0.0,0,0.0
15.0,1.0,5.0,0.44,0.0,0.0,0,0.0
15.0,1.0,5.0,0.45,0.0,0.0,0,0.0
15.0,1.0,5.0,0.46,0.0,0.0,0,0.0
15.0,1.0,5.0,0.47,0.0,0.0,0,0.0
15.0,1.0,5.0,0.48,0.0,0.0,0,0.0
15.0,1.0,5.0,0.49,0.0,0.0,0,0.0
15.0,1.0,5.0,0.5,0.0,0.0,0,0.0
15.0,1.0,8.0,0.05,0.0,0.0,0,0.0
15.0,1.0,8.0,0.06,0.0,0.0,0,0.0
15.0,1.0,8.0,0.07,0.0,0.0,0,0.0
15.0,1.0,8.0,0.08,0.0,0.0,0,0.0
15.0,1.0,8.0,0.09,0.0,0.0,0,0.0
15.0,1.0,8.0,0.1,0.0,0.0,0,0.0
15.0,1.0,8.0,0.11,0.0,0.0,0,0.0
15.0,1.0,8.0,0.12,0.0,0.0,0,0.0
15.0,1.0,8.0,0.13,0.0,0.0,0,0.0
15.0,1.0,8.0,0.14,0.0,0.0,0,0.0
15.0,1.0,8.0,0.15,0.0,0.0,0,0.0
15.0,1.0,8.0,0.16,0.0,0.0,0,0.0
15.0,1.0,8.0,0.17,0.0,0.0,0,0.0
15.0,1.0,8.0,0.18,0.0,0.0,0,0.0
15.0,1.0,8.0,0.19,0.0,0.0,0,0.0
15.0,1.0,8.0,0.2,0.0,0.0,0,0.0
15.0,1.0,8.0,0.21,0.0,0.0,0,0.0
15.0,1.0,8.0,0.22,0.0,0.0,0,0.0
15.0,1.0,8.0,0.23,0.0,0.0,0,0.0
15.0,1.0,8.0,0.24,0.0,0.0,0,0.0
15.0,1.0,8.0,0.25,0.0,0.0,0,0.0
15.0,1.0,8.0,0.26,0.0,0.0,1,0.0
15.0,1.0,8.0,0.27,0.0,0.0,1,0.0
15.0,1.0,8.0,0.28,0.0,0.0,1,0.0
15.0,1.0,8.0,0.29,0.0,0.0,1,0.0
15.0,1.0,8.0,0.3,0.0,0.0,2,0.0
15.0,1.0,8.0,0.31,0.0,0.0,2,0.0
15.0,1.0,8.0,0.32,0.0,0.0,3,0.0
15.0,1.0,8.0,0.33,0.0,0.0,3,0.0
15.0,1.0,8.0,0.34,0.0,0.0,3,0.0
15.0,1.0,8.0,0.35,0.0,0.0,3,0.0
15.0,1.0,8.0,0.36,0.0,0.0,3,0.0
15.0,1.0,8.0,0.37,1.0,0.9019645492968991,4,7.597745136223084
15.0,1.0,8.0,0.38,1.0,0.891977027002098,4,7.55556283331257
15.0,1.0,8.0,0.39,1.0,0.902985370375201,4,7.602043390037501
15.0,1.0,8.0,0.4,1.0,0.9034620345471974,4,7.604049592882771
15.0,1.0,8.0,0.41,1.0,0.8871383751092938,4,7.535041871615234
15.0,1.0,8.0,0.42,1.0,0.904347742610558,4,7.607775990858019
15.0,1.0,8.0,0.43,1.0,0.9047567390884743,4,7.609496126660579
15.0,1.0,8.0,0.44,1.0,0.8946057654610325,4,7.566688112345195
15.0,1.0,8.0,0.45,1.0,0.9055069075142399,4,7.612650135196767
15.0,1.0,8.0,0.46,1.0,0.9830745878569241,5,8.137046888198215
